Transaction ID,Barber ID,Customer ID,Barbing Price,Transaction Date,Transaction Time,Hair Style,Customer Rating,Service Type
1,1,36433,1000,6/16/2023,15:15,Low Cut,2,haircut
2,2,52110,500,4/18/2023,12:00,Low Cut,2, shave
3,1,68602,1000,8/26/2023,12:30,Afro,2,haircut
4,5,19693,1000,6/26/2023,18:30,Low Cut,2,haircut
5,4,1029,2000,11/23/2023,18:30,Dreadlocks,2,haircut
6,3,60074,1000,5/14/2023,18:00,Afro,2,haircut
7,4,65404,500,1/25/2023,20:30,Cornrows,2, shave
8,4,47272,1000,6/21/2023,17:30,Low Cut,2,haircut
9,5,36535,2000,8/31/2023,15:30,Dreadlocks,2,haircut
10,3,25373,1000,6/5/2023,16:30,Mohawk,2,haircut
11,3,37492,1000,12/3/2023,19:30,Low Cut,2,haircut
12,1,21397,1000,5/11/2023,18:15,Afro,2,haircut
13,5,30689,1000,7/20/2023,18:15,Box Cut,5,haircut
14,5,37404,500,6/13/2023,11:30,Low Cut,5, shave
15,4,70605,1000,6/5/2023,21:15,Crew Cut,5,haircut
16,5,58642,1000,11/14/2023,17:15,Low Cut,4,haircut
17,1,58503,2000,11/8/2023,19:30,Dreadlocks,2,haircut
18,5,7799,2000,5/2/2023,17:15,Dreadlocks,2,haircut
19,5,89115,2000,3/31/2023,18:30,Dreadlocks,2,haircut
20,3,56832,1000,11/1/2023,17:45,Mohawk,2,haircut
21,5,57495,1000,7/15/2023,19:30,Low Cut,5,haircut
22,3,38306,1000,11/23/2023,19:45,Box Cut,2,haircut
23,5,18934,1000,1/26/2023,18:45,Afro,2,haircut
24,4,80411,500,9/5/2023,12:30,Fade,2, shave
25,2,97527,1000,9/23/2023,14:45,Box Cut,2,haircut
26,4,62153,500,2/12/2023,14:00,Crew Cut,2, shave
27,2,33304,1000,6/8/2023,19:45,Fade,2,haircut
28,5,35668,1000,12/30/2023,14:30,Low Cut,2,haircut
29,2,39723,1000,6/1/2023,13:15,Low Cut,2,haircut
30,5,26157,1000,9/8/2023,16:15,Low Cut,5,haircut
31,1,7888,500,8/31/2023,19:30,Low Cut,5, shave
32,1,25019,500,1/21/2023,18:30,Low Cut,2, shave
33,5,43191,1000,2/6/2023,20:00,Low Cut,2,haircut
34,3,17022,1000,9/19/2023,17:45,Low Cut,2,haircut
35,1,58740,500,12/6/2023,13:15,Low Cut,2, shave
36,3,1935,1000,5/1/2023,16:30,Low Cut,2,haircut
37,5,91013,1000,1/17/2023,19:45,Low Cut,2,haircut
38,5,11298,500,12/28/2023,12:30,Dreadlocks,2, shave
39,3,74889,1000,5/18/2023,16:15,Fade,2,haircut
40,4,42824,1000,6/24/2023,17:00,Low Cut,2,haircut
41,4,99588,1000,1/8/2023,16:45,Low Cut,2,haircut
42,1,41242,500,9/23/2023,13:00,Dreadlocks,5, shave
43,5,26667,1000,9/30/2023,16:00,Low Cut,2,haircut
44,1,38797,500,10/9/2023,20:15,Afro,2, shave
45,3,17784,1000,2/4/2023,9:30,Low Cut,2,haircut
46,3,74856,2000,1/4/2023,15:00,Dreadlocks,2,haircut
47,5,92410,2000,9/24/2023,13:45,Dreadlocks,2,haircut
48,5,5453,500,3/4/2023,16:00,Low Cut,2, shave
49,1,22817,500,8/22/2023,20:15,Afro,5, shave
50,5,44330,500,7/26/2023,10:00,Twists,2, shave
51,4,92299,1000,3/13/2023,15:15,Low Cut,2,haircut
52,5,3118,1000,12/24/2023,16:30,Fade,2,haircut
53,5,50843,1000,6/8/2023,17:00,Low Cut,5,haircut
54,5,42405,1000,2/17/2023,14:45,Low Cut,5,haircut
55,5,78086,500,9/21/2023,19:00,Low Cut,3, shave
56,4,11041,1000,3/11/2023,13:30,Low Cut,5,haircut
57,5,96501,2000,1/20/2023,19:30,Twists,5,haircut
58,4,1290,2000,6/16/2023,16:45,Dreadlocks,5,haircut
59,1,61180,500,6/24/2023,17:00,Afro,2, shave
60,5,93711,1000,8/13/2023,15:00,Afro,2,haircut
61,2,71409,1000,5/27/2023,19:00,Cornrows,2,haircut
62,1,44125,500,8/17/2023,19:00,Afro,5, shave
63,1,22305,500,1/27/2023,13:15,Afro,2, shave
64,4,36716,1000,7/4/2023,12:00,Fade,2,haircut
65,1,25472,500,9/2/2023,19:00,Afro,5, shave
66,1,21300,500,8/3/2023,15:00,Afro,2, shave
67,5,10419,1000,9/26/2023,10:15,Low Cut,2,haircut
68,1,47650,500,2/2/2023,9:15,Afro,2, shave
69,1,34653,500,4/10/2023,21:45,Afro,5, shave
70,4,13832,1000,8/13/2023,17:45,Low Cut,2,haircut
71,3,42820,1000,9/30/2023,14:15,Cornrows,2,haircut
72,1,86437,500,1/3/2023,9:00,Afro,2, shave
73,3,64730,1000,12/23/2023,13:30,Afro,2,haircut
74,4,21659,500,10/2/2023,17:15,Dreadlocks,5, shave
75,2,76658,1000,10/11/2023,21:00,Fade,2,haircut
76,1,24672,500,9/7/2023,19:30,Afro,2, shave
77,2,10563,1000,10/3/2023,19:15,Low Cut,2,haircut
78,5,83550,2000,2/5/2023,12:15,Dreadlocks,4,haircut
